,article
0,"정부가 올해 2차 추가경정예산안을 확정하면서 일반 국민은 1인당 25만원의 소비쿠폰을 민생회복지원금으로 받게 됐다. 4인 가족은 지원액이 100만원에 달한다. 지역사랑상품권(지역화폐)에 대한 국비 지원도 늘려 최고 할인율이 종전 10%에서 15%로 올라간다. 고효율 가전기기를 구매하면 10%를 환급받고 숙박, 영화 관람, 스포츠시설 분야 등의 할인 쿠폰도 발급될 예정이다. 정부는 이번 추경으로 잔뜩 움츠러든 내수 소비가 되살아나기를 기대하고 있다.
◇인구소멸지역 주민에 2만원 추가 지급
19일 기획재정부에 따르면 2차 추경에서 비중이 가장 큰 사업은 10조3000억원 규모의 민생회복 소비쿠폰이다. 지방비까지 더하면 13조2000억원에 달하는 사업이다. 지원금은 두 차례로 나눠 지급한다. 1차로 일반 국민과 소득 상위 10%는 15만원, 차상위계층은 30만원, 기초생활 수급자는 40만원을 지급한다. 인구소멸지역 84개 시·군 거주자 411만 명은 따로 2만원을 더 준다. 2차 때는 건강보험료 기준으로 소득 하위 90%에 10만원을 추가로 지급한다.
최종적으로 소득 상위 10%인 512만 명은 15만원을 받는다. 일반 국민 4296만 명은 25만원, 차상위계층 38만 명은 40만원, 기초생활보장 수급자 271만 명은 50만원을 받는다. 인구소멸지역에 거주하는 기초생활수급 4인 가구는 208만원((50만원+2만원)×4인)을 받게 된다.
1차 소비쿠폰은 이르면 7월 중순 지급될 전망이다. 7월 국회 본회의에서 추경안이 통과되면 2주 안에 지급하기로 했다. 2차는 소득 선별 작업이 끝나는 대로 준다. 소비쿠폰은 지역화폐, 선불카드, 신용·체크카드 포인트 가운데 선택해 받을 수 있다. 현금으로는 지급하지 않는다. 사용 기한은 4개월이다. 유흥주점과 경마장을 비롯한 유흥·사행업종에서는 쓸 수 없다.
◇고효율 가전 사면 최대 30만원 환급
정부는 지역화폐 할인액 지원 사업에도 6000억원을 편성했다. 이를 통해 지역화폐 발행 규모를 종전 21조원에서 29조원으로 늘린다. 지역화폐 할인율도 종전 7~10%에서 7~15%로 상향 조정한다. 수도권은 지역화폐 할인율이 7~10%에서 10%로, 비수도권은 7~10%에서 13%로 높아진다. 인구감소지역은 할인율이 10%에서 15%로 올라간다. 서울시와 경기 화성시, 성남시 등 지방교부금을 받지 않는 지자체(불교부단체)의 할인율은 자율에서 7% 이상으로 바뀐다.
고효율 가전제품 구매 비용의 10%를 환급하는 사업에도 3261억원을 배정했다. 에너지 소비효율 1등급 가전 제품(냉장고·에어컨·세탁기·전기밥솥·TV 등 11개 품목)을 구매하면 1인당 최대 30만원까지 환급받는다. 신혼부부 한 쌍이 혼수 가전을 사면 60만원까지 돌려받을 수 있는 셈이다.
숙박, 영화 관람, 스포츠 시설, 미술 전시, 공연예술 등 5대 분야 소비 진작을 위해 할인쿠폰 780만 장을 제공하는 사업에는 778억원을 배정했다. 온라인 예약 사이트에서 예약하면서 할인쿠폰을 받을 수 있다. 숙박쿠폰은 1박당 2만~3만원, 미술 전시와 영화 관람은 회당 각각 3000원, 6000원, 스포츠 시설은 5만원을 할인해준다. 예산이 소진될 때까지 할인 행사를 하는 만큼 할인쿠폰은 선착순으로 지급된다.
중소기업 근로자 휴가비 지원 사업도 대상을 기존 6만5000명에서 15만 명으로 늘리기로 했다. 회사와 근로자가 각각 10만원, 20만원의 여행 자금을 적립하면 정부가 10만원을 지원하는 사업이다. 이를 통해 국내 관광을 활성화하겠다는 목표다.
임기근 기재부 2차관은 “경기가 우상향 경로에 진입하기 위해서는 적기에 과감한 재정 투입이 무엇보다 절실하다”며 “2차 추경이 위축된 경기를 살리는 마중물이 되기를 기대한다”고 말했다."
1,"이재명 정부가 7년 이상 연체된 5000만원 이하의 개인 부채 탕감에 나선다. 내년부터 채무조정 프로그램을 가동해 113만여 명의 빚 16조4000억원을 완전 소각하거나 원금의 최대 80%를 감면하겠다는 구상이다. 중위소득 60% 이하 소상공인은 새출발기금을 통해 연체 원금의 최대 90%를 탕감해 준다. 장기간 빚의 늪에 빠져 정상적인 생활이 어려운 취약계층을 구제한다는 취지다. 하지만 도덕적 해이에 대한 우려도 나온다.
◇상환능력 상실한 채권은 소각
19일 금융위원회는 이런 내용이 담긴 2025년도 제2차 추가경정예산안이 국무회의에서 의결됐다고 밝혔다. 이재명 대통령이 공약으로 내건 채무 탕감에 속도를 내기 위한 조치다. 정치권과 정부 관계자에 따르면 이 대통령은 지난 9일 열린 비상경제점검 태스크포스(TF) 2차 회의에서 장기 연체 부채를 ‘썩은 부채’라고 표현하며 대책 마련을 지시한 것으로 전해졌다.
이번에 신설되는 장기 연체채권 채무조정 프로그램은 한국자산관리공사(캠코)가 출자한 채무조정 기구가 금융회사로부터 장기 연체채권을 일괄 매입한 뒤 없애는 구조다. 7년 이상 연체된 5000만원 이하 개인 무담보채권이 매입 대상이다. 신용정보원 연체 정보 등록 기간(7년)과 신용회복위원회 채무조정 신청자의 평균 채무액(4456만원) 등을 고려했다는 게 금융당국의 설명이다.
채무조정 기구는 채권 매입 후 소득 및 재산 심사를 거쳐 소각 혹은 채무조정을 결정한다. 중위소득 60% 이하에 처분할 재산이 없는 경우 상환능력을 상실했다고 보고 채권을 소각한다. 채무 대비 상환능력이 부족하다고 판단될 땐 원금의 최대 80%를 감면하고 나머지는 10년간 분할상환하도록 할 방침이다.
차주 약 113만4000명의 장기 연체채권 총 16조4000억원에 대한 채무조정이 이뤄질 것으로 추산된다. 채무조정 기구가 연체채권을 평균 5% 가격에 매입한다고 했을 때 8000억원 규모의 재원이 필요하다. 정부는 2차 추경으로 이 중 4000억원을 마련하겠다는 구상이다.
실제 채무 탕감은 내년께 이뤄질 전망이다. 금융당국은 올해 3분기 세부 조건 및 절차를 발표할 계획이다. 금융위 관계자는 “금융사와 채권 매각 협약을 맺고 매입 진행, 개별 심사 등을 하는 데 1년가량 소요될 것으로 보인다”고 말했다.
◇새출발기금 지원 대상 확대
지난 정부에서 코로나19로 피해를 본 소상공인을 지원하기 위해 도입한 채무조정 프로그램인 새출발기금도 확대한다. 총채무 1억원 이하면서 중위소득 60% 이하인 저소득 소상공인의 무담보채무를 대상으로 원금의 90%를 감면해 줄 계획이다. 지금까지는 상환능력에 따라 원금의 60~80%를 감면했다. 나머지 채무의 분할상환 기간도 기존 최대 10년에서 20년으로 늘릴 방침이다.
최근 새로 창업한 차주까지 신청할 수 있다. 새출발기금 지원 대상은 확대 개편을 통해 지난해 12월부터 이달까지 영업한 소상공인도 지원 대상에 포함된다. 총 10만1000명의 채무 6조2000억원이 지원 범위에 들어올 것으로 예상된다. 추경 반영 예산은 7000억원이다.
도덕적 해이와 형평성 논란은 숙제다. 빚을 성실하게 갚아 온 차주에 대한 역차별 문제와 ‘버티면 정부가 빚을 없애준다’는 인식이 확산할 수 있다는 우려가 나온다. 코로나19 피해와 관련이 없는 최근 신규 창업자의 부채까지 탕감해 주는 건 과도하다는 지적도 있다.
이 같은 비판에 대해 권대영 금융위 사무처장은 전날 정부세종청사에서 열린 추경 브리핑에서 “상환능력을 상실한 차주는 국내 금융 시스템에서 1~2% 정도”라며 “이들의 재기를 지원해 다시 경제 활동에 나서 정상적인 삶을 살 수 있도록 하는 취지의 일회성 지원 프로그램”이라고 설명했다."
2,"건설과 제조업 불황 등으로 실업자가 급증하자 정부가 2차 추가경정예산안에 구직(실업)급여 재원을 1조3000억원 추가 편성했다. 올해 실업급여를 받을 수 있는 총인원은 180만 명으로 작년 수급 인원보다 70% 늘어났다.
고용노동부는 19일 국무회의에서 의결된 2차 추경에 실업급여 예산이 1조2929억원 포함됐다고 밝혔다. 올해 본예산에 책정된 실업급여 예산(10조9171억원)의 12% 수준이다. 올해 실업급여 수급 가능 인원은 161만1000명에서 179만8000명으로 약 18만7000명 증가했다.
실업급여는 비자발적 실직자의 생계 안정을 위한 고용안전망 제도다. 고용부에 따르면 올 들어 5월까지 실업급여 누적 수급자는 약 110만 명으로 지난해 1년 수급자 수(106만 명)를 이미 넘어섰다. 고용부 관계자는 “1분기 상황을 고려해 실업급여 재원을 여유 있게 확충했다”고 설명했다.
또 다른 고용안전망인 국민취업지원제도 예산으로는 1652억원이 편성됐다. 저소득 구직자, 청년 등 고용보험을 적용받지 못하는 취약계층을 지원하는 제도다. 수급 대상자는 30만5000명에서 36만 명으로 증가했다.
이 밖에도 2차 추경에 △고등학생 맞춤형 직업훈련 160억원 △지역 중소기업 직업훈련 101억원 △저임금근로자 사회보험료 지원 258억원 △폭염예방장비 지원 150억원 등 고용 관련 예산이 들어갔다. 2차 추경에 반영된 고용부 예산은 총 1조5837억원으로 1차 추경(2803억원)의 다섯 배가 넘는다.
고용부 관계자는 “고용안전망을 보강하고 청년 일자리 기회를 확대하기 위한 일자리 예산을 중심으로 2차 추경안을 편성했다”며 “체불 근로자와 영세사업장 저소득 근로자 민생 회복을 위한 예산도 일부 포함됐다”고 설명했다. 경제계 관계자는 “당장 일자리를 잃어 먹고살 길이 없는 사람을 지원하는 대책이 필요한 것은 사실이지만 단순 현금 지원 위주의 대책이 반복되면 실업자의 취업 의지를 꺾는 ‘실업의 구조화’가 확산할 수 있다”고 경고했다."
3,"정부는 올해 두 차례에 걸쳐 총 44조원 규모 추가경정예산을 투입할 경우 경제성장률을 0.2%포인트 끌어올릴 수 있다고 기대한다. 정부 안팎에선 ‘트럼프 관세’를 둘러싼 불확실성과 중동 정세 악화 등에 따른 영향이 지속돼 올해 ‘0%대 성장’을 벗어나기는 쉽지 않다는 우려가 나온다.
임기근 기획재정부 2차관은 19일 브리핑에서 “30조5000억원(세입경정 10조3000억원 포함) 규모의 2차 추경으로 연간 0.2%포인트의 성장 효과가 있을 것으로 예상한다”며 “다만 2차 추경 집행 기간이 올 하반기에 국한되기 때문에 실제로는 절반인 0.1%포인트 성장률을 올리는 효과가 있을 것”이라고 예상했다.
정부는 지난달 국회를 통과한 13조8000억원 규모의 1차 추경안을 발표하면서 추경이 경제성장률을 0.1%포인트 높이는 효과가 있을 것이라고 분석했다. 1차와 2차 추경 효과를 합하면 올해 경제성장률은 총 0.2%포인트 높아진다는 계산이 나온다.
앞서 한국은행과 국책 연구기관인 한국개발연구원(KDI)은 올해 경제성장률 전망치를 0.8%로 제시했다. 단순 계산으로는 두 차례의 추경이 집행되면 올해 경제성장률이 1%에 이를 수 있는 것이다. 하지만 기재부 관계자는 “한은과 KDI의 경제성장률 전망치는 1차 추경 효과(0.1%포인트 상승)를 반영한 것”이라며 “미국의 관세 조치와 이스라엘·이란 전쟁 등 대외 경제 여건이 한층 악화해 0.8%라는 수치 자체가 떨어질 가능성도 있다”고 말했다.
한은과 KDI의 전망이 낙관적이란 지적도 있다. 글로벌 투자은행(IB)인 JP모간과 씨티그룹은 올해 성장률을 0.5~0.6%, 소시에테제네랄은 0.3%로 제시했다. 이에 대해 임 차관은 “새 정부 정책으로 국민 경제 심리에 긍정적인 영향을 미치는 간접효과가 나타난다면 경제성장률 추가 상승을 기대할 수도 있다”고 말했다. 하지만 이코노미스트들은 올해 대규모 추경을 투입해 내수를 부양하면 기저효과로 내년 성장률이 둔화할 수 있다고 경고한다."
4,"강민수 국세청장(사진)이 18~19일 아제르바이잔 바쿠에서 열린 제29차 유럽 조세행정협의기구(IOTA) 총회에 참석했다고 국세청이 19일 밝혔다.
IOTA는 유럽 지역 조세행정 협력을 강화하기 위해 1996년 설립된 과세당국 협의체다. 우리나라는 2021년 준회원국으로 가입했다. 이번 회의에선 인공지능(AI) 기술 발전, 민간 세무 서비스 고도화 등에 대응하기 위한 과세당국의 전략이 논의됐다. 국세청 관계자는 “과세당국 간 협력을 강화해 우리 기업이 사업에 전념할 수 있도록 지원할 것”이라고 말했다."
5,"이재명 대통령이 19일 용산 대통령실에서 국무회의를 주재하며 발언하고 있다. /연합뉴스
이재명 정부가 출범 2주 만에 30조5000억원의 대규모 추가경정예산안(추경)을 내놨다. 세입경정(10조3000억원)을 제외하고 민생 현장에 푸는 돈만 20조2000억원에 달한다. 전 국민에게 소비쿠폰을 지급하고, 소상공인 143만 명의 빚을 탕감해 역대급으로 주저앉은 내수를 일으켜 세우겠다는 구상이다.
이재명 대통령은 19일 용산 대통령실에서 국무회의를 주재하고 이 같은 내용의 추경안을 의결했다. 올해 들어 두 번째이자 이재명 정부의 첫 번째 추경이다.
이 대통령은 국무회의 첫머리발언에서 “작년 12월 3일 이후 심리적 위축이 심해져 서민의 고통이 매우 크다”고 말했다. 이어 “건전재정이나 재정균형의 원칙도 중요하지만 지금은 너무 침체가 심해서 정부의 역할이 필요한 때”라며 “국가 재정을 사용할 때가 됐다”고 강조했다. 역대급 ‘속도전’으로 진행한 이번 추경은 경기 진작과 민생 안정에 방점이 찍혔다. 13조8000억원 규모의 1차 추경은 산불 피해 복구, 통상 지원 등 ‘필수 추경’이었다.
우선 직접 투입하는 재정의 절반 이상인 13조2000억원을 전 국민 소비쿠폰 지급에 쓴다. 모든 국민에게 15만~50만원씩 지급해 전국 상권에 돈이 돌게 하겠다는 구상이다. 이를 위해 현금이 아니라 지역사랑상품권, 선불카드, 신용·체크카드 등의 방식으로 지급한다. 내수 부진의 주요 원인인 건설 경기를 활성화하는 데도 2조7000억원을 투입한다. 악성 미분양 주택 1만 가구를 환매조건부로 매입하고, 철도·항만 등 사회간접자본(SOC) 투자 속도를 높이기로 했다.
자영업자와 소상공인의 재기를 돕기 위한 ‘특별 채무조정 패키지’도 포함됐다. 7년 이상 연체된 5000만원 이하 개인 무담보채권을 정부가 일괄 매입해 소각하는 데 4000억원이 들어간다. 벤처·중소기업 지원, 인공지능(AI) 확산 및 신재생에너지 인프라 확대 등에도 1조2000억원을 투입하기로 했다. 추경안은 오는 23일 국회에 제출할 예정이다.
정부는 추경 재원을 마련하기 위해 19조8000억원의 국채를 추가로 발행한다. 이에 따라 국가채무가 처음으로 1300조원을 넘어서게 됐다. 기획재정부는 국내총생산(GDP) 대비 관리재정수지 적자 규모를 3% 이내로 묶는 ‘재정준칙’을 완화할 방침이다."
6,"지난 18일 아랍에미리트(UAE) 두바이에서 '2025 두바이 K푸드 페어'가 열렸다. 해외 바이어들이 현장에서 K푸드를 살펴보고 있다. 사진=공동취재단
‘중동의 홍콩’ 아랍에미리트(UAE) 두바이에서 K푸드 박람회가 열렸다. 이틀간 약 200만달러규모의 현장 업무계약(MOU)이 체결되는 성과를 거뒀다. 해외 바이어들은 이슬람 율법에 따라 생산된 ‘할랄 한우’에 높은 관심을 보였다.
19일 농림축산식품부와 한국농수신식품유통공사(aT)에 따르면 지난 17~18일 두바이 주메이라 비치 호텔에서 ‘2025 두바이 K푸드 페어’가 개최됐다. 한국 식품기업 30개 사와 중동·터키지역 바이어 60여개 사가 참여한 이번 행사엔 상담 총 251건이 이뤄져 200만달러 규모의 MOU가 체결됐다. 행사에 참여한 커피음료 전문기업 쟈뎅 관계자는 “해외 바이어들에게 제품을 소개하려면 이메일이나 와츠앱으로 소통하는데, 시차도 있고 상품을 설명하기도 어렵다”며 “이번 행사에선 직접 제품을 보여주면서 설명할 수 있어 큰 도움이 됐다”고 했다.
UAE는 K푸드의 새로운 영토로 꼽힌다. 올들어 지난달까지 UAE에 수출된 농림축산식품은 1억1600만달러로, 1년 전 같은 기간보다 40.2% 늘었다. 제품별로 보면 라면(970만달러·12.1%)과 소스류(90만달러·44.6%), 음료(60만달러·28.0%) 등이 높은 성장세를 보였다.
지난 18일 아랍에미리트(UAE) 두바이에서 '2025 두바이 K푸드 페어'가 열렸다. 해외 바이어들이 현장에서 K푸드를 살펴보고 있다. 사진=공동취재단
현장에선 K푸드가 인기를 끌면서 바이어들이 스스로 현지 소비자들을 공략할 방안을 찾는 모습도 나타났다. 해외 바이어 로이든 씨는 “떡볶이의 경우 소비자들이 ‘고무’ 같은 식감이 난다는 이유로 식사를 꺼리는 경우가 종종 있는데, 이를 넘어서기 위해 먼저 소비자들에게 익숙한 라면을 곁들인 라볶이를 수입하고 있다”고 했다. 현지 유력 유통업체인 ‘초이드람’ 관계자는 “라면이나 스낵 같은 K푸드 주력 상품뿐만 아니라 기능성 음료와 홍삼 같은 전통 식품도 빠르게 인기를 끌 것”이라고 평가했다.
현지 관계자들은 중동에서 한우의 성장 가능성을 높게 보고 있다. K푸드 페어에 참여한 합천축협 관계자는 “한우는 와규보다 고기를 씹는 식감이 더 좋기 때문에 인기가 많다”며 “많은 바이어가 관심을 보인다”고 했다.
전기찬 aT 수출 식품 이사는 “할랄 인증 한우처럼 고부가가치 제품 포트폴리오를 확대하겠다”고 말했다. 주원철 농식품부 식품산업정책관은 “급변하는 수출 환경에 적시 대응해 수출기업을 돕겠다”고 했다."
7,"이창용 한국은행 총재가 18일 ‘물가안정상황 운영상황 점검 기자설명회’에서 안경을 고쳐 쓰고 있다. /임형택기자
이창용 한국은행 총재가 18일 정부와 여당이 추진하는 2차 추가경정예산안 편성에 대해 “물가에 주는 영향은 크지 않을 것”이라고 밝혔다.
이 총재는 이날 서울 남대문로 한은 별관에서 열린 물가안정상황 운영상황 점검 기자설명회에서 추경과 관련한 질문을 받자 “당정의 추경안 내용을 보지 못해 (정확히) 평가하기는 어렵다”며 이같이 밝혔다.
이 총재는 소비 진작을 위한 전 국민 지원금에 대해선 “구체적인 내용은 알지 못한다”면서도 “재정 효율성 면에서 보편적인 지원보다 선택적인 지원이 어려운 자영업자와 영세 사업자를 돕는 데 효율적”이라며 과거 반대 입장을 고수했다. 추경 규모가 확대되면서 기준금리 인하 속도가 늦어질 수 있다는 시장 관측엔 “언제 어느 정도 내릴지는 가계부채, 주택시장, 외환시장 등을 보면서 결정할 것”이라며 말을 아꼈다.
한은은 20조원 안팎의 추경이 편성될 경우 내년 물가상승률이 0.1%포인트 추가 상승할 것으로 분석했다. 추경 편성과 지출에 필요한 절차와 시간을 고려하면 올해 물가에 미치는 영향은 제한적일 것으로 봤다. 추경 편성에 따른 경제 효과는 다음달 공개한다.
한은은 이날 설명회에서 물가상승률 흐름에 대해 안정적이라고 평가했다. 최근 물가상승률은 2% 안팎에서 움직이고 있다. 한은은 “가공식품과 일부 서비스가격이 인상된 점은 물가상승률에 상방 요인으로 작용하겠지만, 낮은 수요압력 등이 이를 상쇄해 올해 하반기 소비자물가·근원물가(에너지·식료품 제외) 상승률은 모두 1%대 후반 수준에서 안정될 것”이라고 밝혔다.
최근 중동 지역의 지정학적 갈등 고조에 따른 국제 유가 상승 우려는 위협 요인으로 지목했다. 이 총재는 “유가가 75달러까지 오르는 상황에 대해 분석했지만 시장에 논의되는 불확실성은 이보다 더 큰 수준”이라며 “유가가 낮은 수준으로 유지되는 것이 도움이 되기 때문에 또 하나의 악재가 생기지 않았으면 하는 마음”이라고 말했다.
물가 수준이 높아진 점도 언급했다. 이 총재는 “물가 안정이라는 말은 물가상승률이 안정됐다는 뜻”이라며 “높아진 물가 수준 때문에 물가가 안정됐다고 못 느끼는 사람이 많을 것”이라고 짚었다. 보고서를 통해서도 “팬데믹 이후 물가 상승기를 거치면서 높아진 물가 수준이 계속 가계에 부담으로 작용하고 있다”며 “최근 가공식품 등 필수재 가격도 인상돼 취약계층의 체감물가가 높다”고 진단했다."
8,"정부가 대학생에게 제공하던 ‘천원의 아침밥’ 사업을 지역의 산업단지 근로자 등으로 확대할 계획이라고 18일 밝혔다. 사진은 ‘천원의 아침밥’을 배식 받고 있는 경희대 학생들. /뉴스1
정부가 직장인판 ‘천원의 아침밥’ 사업을 추진한다. 지역의 산업단지 근로자 등에게 아침밥을 시중 가격보다 저렴하게 제공하는 사업이다. 직장인의 아침값 부담을 덜어주는 동시에 쌀 소비를 촉진하기 위한 목적에서다.
18일 관계부처에 따르면 농림축산식품부는 19일 국정기획위원회에 ‘직장인 천원의 아침밥’ 사업 추진 계획을 보고할 예정이다. 농식품부 관계자는 “이재명 대통령이 공약으로 밝힌 직장인판 ‘천원의 아침밥’ 사업 보고를 준비하고 있다”며 “기획재정부와 내년 예산안에 관련 사업을 반영할지 논의할 계획”이라고 말했다.
정부는 대학생에게 아침밥을 1000원에 제공하는 ‘천원의 아침밥’ 사업을 운영 중이다. 대학생이 1000원을 내면 정부(농식품부)가 1000원을 지원하고 나머지는 학교가 부담하는 구조다. 서울 등 일부 지방자치단체는 자체 예산으로 지원하기도 한다. 청년들이 아침밥을 먹도록 장려하면서 쌀 과잉 공급 문제도 해결하기 위해 2017년 처음 시행했다. 올해 이 사업에 참여한 대학은 200곳으로 지난해보다 14곳 늘었다.
정부는 산업단지 근로자로 천원의 아침밥 지원 대상을 확대한다는 방침이다. 기업 및 산단이 운영하는 구내식당 등에서 1000~3000원가량에 아침밥을 사 먹을 수 있도록 지원하는 방안이 우선 검토되고 있다. 정부가 1000~2000원을 지원하고 기업이 나머지를 부담하는 방식이다. 아침을 무료로 제공하는 기업에 정부가 세제 등 인센티브를 제공하는 등의 방식도 거론된다.
이 대통령은 지난달 11일 페이스북에 “대학생과 노동자에게 ‘천원의 아침밥’을 제공하겠다”고 적었다. 더불어민주당의 대선 공약집에도 생활비 절감 대책의 하나로 ‘전국산업단지 근로자를 위한 천원의 아침밥 사업 지원’이 담겨 있다. 정부 일각에서는 천원의 아침밥 대상을 취업준비생으로 확대하자는 주장도 나온다.
일부 지자체는 자체적으로 ‘직장인 천원의 아침밥’ 사업을 하고 있다. 2023년 전국 최초로 근로자 조식 사업을 한 광주광역시는 하남산단과 첨단산단 조식지원센터에서 시중 가격 대비 50%가량 저렴한 가격에 김밥, 샌드위치, 샐러드 등 간편 조식을 판매 중이다.
물가 안정 대책의 일환이라지만 국민 세금으로 직장인의 아침 식사를 지원하는 게 맞냐는 지적이 나온다. 전형적인 선심성 정책이란 비판이다. 매출 감소가 예상되는 주변 식당의 반발도 예상된다. 산업단지 근로자로 시작하더라도 향후 선거를 거칠 때마다 대상자가 무분별하게 늘어날 것이라는 우려도 나온다.
이미 아침밥에 이어 점심밥으로 범위를 확대하자는 논의도 진행 중이다. 김민석 국무총리 후보자는 지난 13일 식품업계와의 간담회에서 “‘대학생 천원의 아침밥’과 ‘경로당 주 5일 점심’을 입안한 경험이 있다”며 “‘직장인 든든한 점심’까지 일종의 3대 세트로 발전할 수 있는 것 아닌가”라고 말했다."
9,"한국표준협회가 18일 서울 소공동 롯데호텔에서 ‘2025 소비자웰빙환경만족지수 1위 인증 수여식’을 열었다. 올해로 22회째를 맞은 소비자웰빙환경만족지수는 표준협회와 연세대 환경과학기술연구소가 2004년 공동 개발했다. 앞줄 왼쪽부터 함성수 KCC 상무, 조공훈 KCC 상무, 전광진 삼육식품 사장, 남종현 그래미 회장, 문동민 한국표준협회장, 김성헌 연세대 교수, 이익재 세브란스병원 진료혁신부원장, 김도한 더케이예다함 대표, 서호영 KCC 상무, 김승곤 에몬스가구 부사장.
한국표준협회 제공"
